ID,Station,Latitude,Longitude
111,Heumarkt,50.93576,6.96046
211,Neumarkt,50.93576,6.94811
311,Poststr.,50.93169,6.95008
411,Mauritiuskirche,50.93469,6.94507
611,Rathaus,50.93793,6.95956
711,Appellhofplatz,50.93992,6.95054
911,Breslauer Platz/Hbf,50.94447,6.95866
1111,Severinstr.,50.92923,6.95747
1711,Ubierring,50.92232,6.96517
1811,Chlodwigplatz,50.92122,6.96026
1911,Ulrepforte,50.92432,6.95144
2011,Bonner Wall,50.91641,6.96103
2111,Eifelplatz,50.92357,6.94389
2211,Eifelstr.,50.92684,6.94545
2311,Barbarossaplatz,50.92914,6.94341
2411,Zülpicher Platz,50.93175,6.9405
2611,Eifelwall/Stadtarchiv,50.92487,6.93718
2711,Rudolfplatz,50.93586,6.94048
2811,Moltkestr.,50.93557,6.93229
3011,Friesenplatz,50.94053,6.93983
3211,Christophstr./Mediapark,50.94506,6.94292
3411,Reichenspergerplatz,50.95441,6.9653
3511,Ebertplatz,50.95101,6.95954
3611,Hansaring,50.94871,6.95155
3911,Deutzer Freiheit,50.93805,6.97142
4011,Suevenstr.,50.93287,6.97649
4211,Koelnmesse,50.94358,6.98227
4411,Deutz Technische Hochschule,50.93659,6.98593
4511,Severinsbrücke,50.93057,6.97236
4611,Drehbrücke,50.92864,6.97469
4711,Poller Kirchweg,50.924,6.97967
4911,Bf Deutz/LANXESS arena,50.93922,6.97858
5211,Pohligstr.,50.91668,6.94158
5311,Herthastr.,50.91322,6.94087
5411,Gottesweg,50.91022,6.94154
5611,Zollstockgürtel,50.90577,6.94206
5711,Zollstock Südfriedhof,50.90097,6.94408
6511,Schönhauser Str.,50.91455,6.9718
7611,Bayenthalgürtel,50.90659,6.9781
10611,Rodenkirchen Bf,50.89097,6.99008
10711,Siegstr.,50.88301,6.99488
10811,Michaelshoven,50.87613,6.99903
12411,Sürth Bf,50.8643,7.0036
13411,Godorf Bf,50.84739,6.97855
14211,Mohnweg,50.93795,6.85551
14311,Universitätsstr.,50.93665,6.92427
14411,Melaten,50.93673,6.91705
15011,Weißhausstr.,50.92172,6.93379
15111,Arnulfstr.,50.91853,6.93052
15211,Sülzburgstr.,50.91543,6.92727
15311,Universität,50.92599,6.9312
15411,Weyertal,50.92395,6.9267
15511,Lindenburg,50.92237,6.92199
16011,Sülzgürtel,50.91194,6.92362
16211,Berrenrather Str./Gürtel,50.91487,6.92009
16311,Euskirchener Str.,50.9166,6.91758
16411,Zülpicher Str./Gürtel,50.92008,6.91548
16511,Mommsenstr.,50.91923,6.91047
16611,Sülz Hermeskeiler Platz,50.91731,6.90753
16711,Klettenbergpark,50.9083,6.91981
16911,Wüllnerstr.,50.93106,6.90805
17011,Dürener Str./Gürtel,50.92874,6.90857
17211,Brahmsstr.,50.92595,6.89818
17311,Gleueler Str./Gürtel,50.92442,6.91173
17811,Aachener Str./Gürtel,50.93703,6.90769
17911,Maarweg,50.9372,6.89982
18011,Clarenbachstift,50.93729,6.8948
18111,Eupener Str.,50.93743,6.88997
18211,Melatengürtel,50.93936,6.91056
18611,Alter Militärring,50.93769,6.88187
18711,RheinEnergieSTADION,50.93759,6.87501
20011,Junkersdorf,50.93765,6.86921
22811,Rosenhügel,50.87395,7.05995
23411,Stüttgenhof,50.92008,6.87753
23511,Marsdorf,50.91764,6.85913
23611,Piusstr.,50.9458,6.92628
23711,Körnerstr.,50.94806,6.92085
23811,Gutenbergstr.,50.95023,6.92866
23911,Liebigstr.,50.95174,6.9252
24111,Weiden Römergrab,50.93833,6.82908
24211,Schaffrathsgasse,50.97144,6.87013
24511,Subbelrather Str./Gürtel,50.95469,6.92128
24611,Nußbaumerstr.,50.95678,6.92337
24711,Lenauplatz,50.95864,6.91831
24911,Iltisstr.,50.96469,6.91264
25111,Venloer Str./Gürtel,50.94998,6.91654
25411,Weinsbergstr./Gürtel,50.9448,6.91278
25511,Leyendeckerstr.,50.95446,6.90974
26111,Weiden Zentrum,50.93817,6.83562
26211,Rochusplatz,50.95658,6.90337
26411,Akazienweg,50.96031,6.89459
27211,Rektor-Klein-Str.,50.97348,6.90476
27311,Margaretastr.,50.96831,6.9055
27411,Alter Flughafen Butzweilerhof,50.97748,6.89862
28211,Wolffsohnstr.,50.96502,6.88479
28311,Westfriedhof,50.96733,6.87877
