ID,Station,Latitude,Longitude
1,S Wiesbaden Hauptbahnhof,50.0694776255789,8.24463076002209
2,S Wiesbaden Ost,50.04171927,8.256443567685
3,S Mainz-Kastel,50.0071771003271,8.28353713278707
4,S Hochheim (Main),50.0042792995967,8.35031325105029
5,S Flörsheim (Main),50.0168741569306,8.43067935262115
6,S Eddersheim,50.0384627600871,8.45557861630907
7,S Hattersheim (Main),50.0672648120622,8.48849546950878
8,S Frankfurt-Sindlingen,50.0880420025367,8.51158233625223
9,S Frankfurt-Höchst Farbwerke,50.0978417863389,8.52687073180436
10,S Frankfurt-Höchst,50.1022102043735,8.54237079859728
11,S Frankfurt-Nied,50.1020633693105,8.57228404593505
12,S Frankfurt-Griesheim,50.0939757669359,8.60642732190442
13,S+U Frankfurt Hauptbahnhof,50.1071556459599,8.6637590384402
14,S Frankfurt Taunusanlage,50.1134811900971,8.66876189337365
15,S+U Frankfurt Hauptwache,50.1139601925328,8.67928623518683
16,S+U Frankfurt Konstablerwache,50.114684730761,8.68785184283847
17,S Frankfurt Ostendstraße,50.1124973248633,8.69700928058798
18,S Frankfurt Mühlberg,50.1018957537151,8.69970377088454
19,S Offenbach-Kaiserlei,50.105178285182,8.73731304435296
20,S Offenbach Ledermuseum,50.1059155610052,8.7495822082818
21,S Offenbach Marktplatz,50.1052657740613,8.76566072544212
22,S Offenbach Ost,50.102443021889,8.78437642972009
23,S Offenbach-Bieber,50.0905548527561,8.80838121846017
24,S Offenbach-Waldhof,50.0822083638948,8.82927407782843
25,S Obertshausen,50.0734482586806,8.85308050387613
26,S Rodgau-Weiskirchen,50.0525652638485,8.87784463494358
27,S Rodgau-Hainhausen,50.0409105099146,8.87480293102178
28,S Rodgau-Jügesheim,50.0257660746264,8.87895890829259
29,S Rodgau-Dudenhofen,50.0103442321321,8.88460567038357
30,S Rodgau-Nieder-Roden,49.9970512430655,8.87113665041137
31,S Rodgau-Rollwald,49.9883110047109,8.84753800847478
32,S Rödermark-Ober-Roden,49.9735585087865,8.82876518899048
33,S Niedernhausen (Taunus),50.1599905681191,8.31231142370937
34,S Niederjosbach,50.149757981785,8.35113053457298
35,S Eppstein-Bremthal,50.1404328721699,8.36539919853209
36,S Eppstein,50.139966421193,8.3873814767656
37,S Lorsbach,50.1148405557976,8.42293462853334
38,S Hofheim (Taunus),50.0842614789766,8.44449752950969
39,S Kriftel,50.0826404196972,8.47683321642102
40,S Frankfurt-Zeilsheim,50.0905031779691,8.50680614148816
41,S Heusenstamm,50.0604614245707,8.80136442432921
42,S Dietzenbach-Steinberg,50.0233091404132,8.79389798183064
43,S Dietzenbach Mitte,50.0177785894313,8.78808922492533
44,S Dietzenbach Bahnhof,50.0079735152488,8.78509108057952
45,S Bad Soden (Taunus),50.1435159733666,8.50395365442553
46,S Sulzbach (Taunus) Nord,50.1387538064818,8.51524935298774
47,S Schwalbach (Taunus) Limes,50.1545850591959,8.52821478032646
48,S Schwalbach (Taunus) Nord,50.1597983345359,8.53464291995765
49,S Niederhöchstadt,50.1543006614421,8.54713574644375
50,S Eschborn,50.1440306651598,8.56038293228714
51,S Eschborn Süd,50.1340782628986,8.57731412974787
