ID,Station,Latitude,Longitude
105,S Adlershof,52.434867,13.541224
11,S Ahrensfelde Bhf,52.571393,13.565467
59,S Alt-Reinickendorf,52.577776,13.351235
155,S Altglienicke,52.407359,13.558798
147,S Anhalter Bahnhof,52.503564,13.381396
50,S Attilastr.,52.447898,13.360727
113,S Babelsberg,52.391427,13.092776
101,S Baumschulenweg,52.467495,13.489615
24,S Bellevue,52.519946,13.34809
110,S Bergfelde,52.670081,13.320426
10,S Bernau Bhf,52.675428,13.591859
126,S Bernau-Friedenstal,52.66847,13.564998
81,S Betriebsbahnhof Rummelsburg,52.493969,13.497724
29,S Beusselstr.,52.534359,13.329406
88,S Biesdorf,52.513095,13.556379
123,S Birkenstein,52.515685,13.647324
14,S Birkenwerder Bhf,52.688665,13.288775
76,S Blankenburg,52.591376,13.443308
2,S Blankenfelde Bhf,52.338503,13.415406
108,S Borgsdorf,52.715526,13.276319
70,S Bornholmer Str.,52.554619,13.397673
140,S Botanischer Garten,52.448005,13.307177
75,S Buch,52.635818,13.491694
51,S Buckower Chaussee,52.410239,13.382877
18,S Charlottenburg Bhf,52.504175,13.301819
64,S Eichborndamm,52.577688,13.317219
158,S Eichwalde,52.37124,13.615279
9,S Erkner Bhf,52.427675,13.752091
138,S Feuerbachstr.,52.463431,13.332339
317,S Flughafen BER Bhf,52.364284,13.508157
316,S Schönefeld Bhf,52.390907,13.513047
120,S Fredersdorf,52.526201,13.760479
136,S Friedenau,52.470498,13.341152
89,S Friedrichsfelde Ost,52.514058,13.519948
98,S Friedrichshagen,52.457329,13.623213
160,S Frohnau,52.632307,13.29044
79,S Gehrenseestr.,52.556471,13.524843
163,S Greifswalder Str.,52.540109,13.439108
13,S Griebnitzsee Bhf,52.394161,13.127876
146,S Grünau,52.412432,13.573957
156,S Grünbergallee,52.399343,13.541956
42,S Grunewald,52.48837,13.260926
66,S Hackescher Markt,52.522663,13.402462
38,S Halensee,52.496038,13.290596
36,S Heerstr.,52.507814,13.259813
117,S Hegermühle,52.548574,13.86654
62,S Heiligensee,52.624476,13.229361
21,S Hennigsdorf Bhf,52.638536,13.205695
154,S Hermsdorf,52.617336,13.307756
97,S Hirschgarten,52.45795,13.603123
109,S Hohen Neuendorf,52.668645,13.286992
8,S Hohenschönhausen Bhf,52.566014,13.512471
39,S Hohenzollerndamm,52.488671,13.300271
122,S Hoppegarten,52.518109,13.673978
128,S Humboldthain,52.544883,13.379364
104,S Johannisthal,52.44662,13.524071
152,S Julius-Leber-Brücke,52.48645,13.361028
83,S Karlshorst,52.480538,13.527019
77,S Karow Bhf,52.615235,13.469409
92,S Kaulsdorf,52.512165,13.590481
56,S Köllnische Heide,52.469676,13.46806
19,S Königs Wusterhausen Bhf,52.296662,13.631318
94,S Köpenick,52.458653,13.581491
164,S Landsberger Allee,52.529316,13.45484
48,S Lankwitz,52.438757,13.342041
107,S Lehnitz,52.74118,13.263457
53,S Lichtenrade,52.389074,13.395568
7,S Lichterfelde Ost Bhf,52.429576,13.328766
46,S Lichterfelde Süd,52.41025,13.308587
139,S Lichterfelde West,52.443216,13.293109
114,S Mahlow,52.360777,13.407878
93,S Mahlsdorf Bhf,52.512253,13.610598
52,S Marienfelde,52.424278,13.374587
84,S Marzahn,52.543259,13.541126
86,S Mehrower Allee,52.557752,13.553721
31,S Messe Nord/ICC,52.50779,13.283458
34,S Messe Süd,52.498568,13.270392
131,S Mexikoplatz,52.436783,13.233258
112,S Mühlenbeck-Mönchmühle,52.654763,13.386172
