Haltestelle;Name;Kurzname;Haltestellenbereich;XKoordinate;YKoordinate;Betriebsbereich;Linien
111;Heumarkt;HMG;1;6.96046;50.93576;STRAB;1 7 9
112;Heumarkt;HMG;1;6.95957;50.9357;STRAB;1 7 9
113;Heumarkt;HMG;1;6.95745;50.93511;STRAB;5
114;Heumarkt;HMG;1;6.95795;50.93554;STRAB;5
121;Heumarkt;HMG;1;6.9604;50.93551;BUS;106 132 133
127;Heumarkt;HMG;1;6.95989;50.93471;BUS;106
128;Heumarkt;HMG;1;6.95989;50.93471;BUS;106
211;Neumarkt;NEU;2;6.94811;50.93576;STRAB;1 7 9
212;Neumarkt;NEU;2;6.94731;50.93583;STRAB;1 7 9
213;Neumarkt;NEU;2;6.94688;50.93633;STRAB;7
214;Neumarkt;NEU;2;6.94947;50.93464;STRAB;3 4 16 18
215;Neumarkt;NEU;2;6.9491;50.93542;STRAB;3 4 16 18
216;Neumarkt;NEU;2;6.94688;50.93633;STRAB;7
217;Neumarkt;NEU;2;6.94689;50.93636;STRAB;7
218;Neumarkt;NEU;2;6.94689;50.93636;STRAB;7
221;Neumarkt;NEU;2;6.94817;50.93566;BUS;136 146
222;Neumarkt;NEU;2;6.94807;50.9363;BUS;136 146
233;Neumarkt;NEU;2;6.94815;50.93565;BUS;
311;Poststr.;PSS;3;6.95008;50.93169;STRAB;3 4 16 18
312;Poststr.;PSS;3;6.9501;50.93126;STRAB;3 4 16 18
332;Poststr.;PSS;3;6.95093;50.93085;BUS;
333;Poststr.;PSS;3;6.94821;50.93015;BUS;
411;Mauritiuskirche;MAK;4;6.94507;50.93469;STRAB;9
412;Mauritiuskirche;MAK;4;6.94512;50.9336;STRAB;9
431;Mauritiuskirche;MAK;4;6.94505;50.93406;BUS;
432;Mauritiuskirche;MAK;4;6.94504;50.93481;BUS;
521;Am Frohnweiher;AMF;5;6.8708;51.06233;BUS;120
522;Am Frohnweiher;AMF;5;6.87068;51.06235;BUS;120 123
611;Rathaus;RAT;6;6.95956;50.93793;STRAB;5
612;Rathaus;RAT;6;6.95963;50.93847;STRAB;5
631;Rathaus;RAT;6;6.95966;50.9392;BUS;
632;Rathaus;RAT;6;6.95972;50.9392;BUS;
711;Appellhofplatz;APB;7;6.95054;50.93992;STRAB;3 4 16 18
712;Appellhofplatz;APB;7;6.95055;50.93935;STRAB;3 4 16 18
713;Appellhofplatz;APB;7;6.9508;50.94122;STRAB;5
714;Appellhofplatz;APB;7;6.94998;50.94112;STRAB;5
733;Appellhofplatz;APB;7;6.95305;50.93873;BUS;
734;Appellhofplatz;APB;7;6.95351;50.93877;BUS;
735;Appellhofplatz;APB;7;6.95044;50.94009;BUS;
736;Appellhofplatz;APB;7;6.95044;50.94007;BUS;
911;Breslauer Platz/Hbf;BRE;9;6.95866;50.94447;STRAB;16 18
912;Breslauer Platz/Hbf;BRE;9;6.95869;50.94439;STRAB;16 18
921;Breslauer Platz/Hbf;BRE;9;6.96061;50.94309;BUS;132
922;Breslauer Platz/Hbf;BRE;9;6.96061;50.94309;BUS;132
923;Breslauer Platz/Hbf;BRE;9;6.96095;50.94352;BUS;133
925;Breslauer Platz/Hbf;BRE;9;6.96103;50.94335;BUS;124
926;Breslauer Platz/Hbf;BRE;9;6.96095;50.94352;BUS;133
928;Breslauer Platz/Hbf;BRE;9;6.96103;50.94335;BUS;124
929;Breslauer Platz/Hbf;BRE;9;6.96067;50.94318;BUS;171
930;Breslauer Platz/Hbf;BRE;9;6.96067;50.94318;BUS;171
933;Breslauer Platz/Hbf;BRE;9;6.9595;50.94402;BUS;
934;Breslauer Platz/Hbf;BRE;9;6.95948;50.94404;BUS;
1021;Kuthstr./Vingst;KSV;10;7.02285;50.93308;BUS;179
1022;Kuthstr./Vingst;KSV;10;7.02274;50.93318;BUS;179
1111;Severinstr.;SEV;11;6.95747;50.92923;STRAB;3 4
1112;Severinstr.;SEV;11;6.95605;50.92906;STRAB;3 4
1113;Severinstr.;SEV;11;6.95739;50.92924;STRAB;17
1114;Severinstr.;SEV;11;6.95707;50.92926;STRAB;17
1115;Severinstr.;SEV;11;6.95754;50.92871;STRAB;17
1116;Severinstr.;SEV;11;6.95722;50.92873;STRAB;17
1121;Severinstr.;SEV;11;6.95723;50.92954;BUS;106 132
1122;Severinstr.;SEV;11;6.95716;50.92958;BUS;106 132
1221;Waidmarkt;WAI;12;6.95556;50.93251;BUS;106 132
1222;Waidmarkt;WAI;12;6.95623;50.93225;BUS;106 132
1321;Rosenstr.;ROS;13;6.96122;50.92705;BUS;106 132
1322;Rosenstr.;ROS;13;6.95878;50.92638;BUS;106 132
1421;Silbermöwenweg;SMW;14;6.8764;50.96644;BUS;141 143
1422;Silbermöwenweg;SMW;14;6.87696;50.96619;BUS;141 143
1521;Severinskirche;SVK;15;6.96155;50.92358;BUS;106 132
1522;Severinskirche;SVK;15;6.96041;50.92358;BUS;106 132
1711;Ubierring;UBI;17;6.96517;50.92232;STRAB;15 16
1712;Ubierring;UBI;17;6.96586;50.9225;STRAB;16
1713;Ubierring;UBI;17;6.96627;50.92188;STRAB;15
1721;Ubierring;UBI;17;6.96494;50.92172;BUS;133 142
1722;Ubierring;UBI;17;6.96471;50.92227;BUS;133 142
1811;Chlodwigplatz;CWP;18;6.96026;50.92122;STRAB;15 16
1812;Chlodwigplatz;CWP;18;6.96094;50.92131;STRAB;15 16
1813;Chlodwigplatz;CWP;18;6.95966;50.92152;STRAB;17
1814;Chlodwigplatz;CWP;18;6.9595;50.92101;STRAB;17
1817;Chlodwigplatz;CWP;18;6.95973;50.92107;STRAB;17
1818;Chlodwigplatz;CWP;18;6.95939;50.92147;STRAB;17
1821;Chlodwigplatz;CWP;18;6.95985;50.92047;BUS;106 132 133
1822;Chlodwigplatz;CWP;18;6.9594;50.9222;BUS;106 132
1823;Chlodwigplatz;CWP;18;6.95985;50.92047;BUS;106
1824;Chlodwigplatz;CWP;18;6.96031;50.92132;BUS;133 142
1825;Chlodwigplatz;CWP;18;6.9606;50.92117;BUS;142
1911;Ulrepforte;ULR;19;6.95144;50.92432;STRAB;15 16
1912;Ulrepforte;ULR;19;6.95208;50.92401;STRAB;15 16
2011;Bonner Wall;ABW;20;6.96103;50.91641;STRAB;17
2012;Bonner Wall;ABW;20;6.9611;50.91595;STRAB;17
2015;Bonner Wall;ABW;20;6.96115;50.916;STRAB;17
2016;Bonner Wall;ABW;20;6.96095;50.91636;STRAB;17
2021;Bonner Wall;ABW;20;6.96083;50.9171;BUS;106 132 133 142
2022;Bonner Wall;ABW;20;6.96076;50.91699;BUS;106 132 133 142
2111;Eifelplatz;EIF;21;6.94389;50.92357;STRAB;12
2112;Eifelplatz;EIF;21;6.94332;50.92316;STRAB;12
2211;Eifelstr.;EFS;22;6.94545;50.92684;STRAB;12 15 16
